TrainNumber,TrainName,Type,Priority,Origin,Origin_Code,Destination,Destination_Code,AssignedRoute,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,DwellTimeMinutes,RunningTimeMinutes,PlatformAssigned,TrackStatus,SignalState,Weather,PassengerLoad,Disruption
12638,Kerala Express,Express,goods-only,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:02,04:07,06:11,06:16,10,129,3,maintenance,green,storm,0.66,none
12838,Chhattisgarh Sampark Kranti,Express,normal,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:29,04:29,06:43,06:43,2,134,4,occupied,green,rain,0.8,none
12205,Mahakoshal Express,Express,high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:25,05:35,07:45,07:55,8,140,2,maintenance,yellow,fog,0.58,none
14228,NDLS-AGC Intercity,Goods,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:04,05:19,07:29,07:44,10,145,4,occupied,green,storm,0.87,none
12077,Kota Janshatabdi,Goods,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:01,04:11,06:59,07:09,10,178,1,free,red,rain,0.58,none
12937,Malwa Express,Superfast,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:14,05:14,07:58,07:58,9,164,1,maintenance,yellow,storm,0.6,none
12199,Gwalior Intercity,Passenger,normal,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:27,05:27,07:11,07:11,4,104,3,maintenance,red,storm,0.8,none
12069,Gatimaan Express,Express,high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:46,05:51,08:34,08:39,7,168,4,occupied,yellow,storm,0.79,weather_delay
12022,Bhopal Shatabdi Express,Express,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:21,04:31,07:10,07:20,5,169,3,free,green,rain,0.52,none
12302,Taj Express,Superfast,goods-only,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,05:27,05:27,08:00,08:00,7,153,1,free,yellow,storm,0.84,none
12648,Kerala Express,Express,super high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:44,05:44,08:05,08:05,6,141,3,occupied,yellow,storm,0.76,none
12848,Chhattisgarh Sampark Kranti,Passenger,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:15,04:25,07:12,07:22,3,177,2,occupied,yellow,storm,0.74,signal_failure
12215,Mahakoshal Express,Goods,high,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,05:12,05:17,07:31,07:36,7,139,2,maintenance,green,storm,0.63,weather_delay
14238,NDLS-AGC Intercity,Passenger,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:16,04:19,06:42,06:45,9,146,4,occupied,green,clear,0.71,none
12087,Kota Janshatabdi,Express,super high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:48,04:48,06:50,06:50,2,122,4,maintenance,green,clear,1.0,weather_delay
12947,Malwa Express,Express,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:22,05:22,07:31,07:31,6,129,3,free,green,fog,0.88,none
12209,Gwalior Intercity,Goods,super high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:16,04:16,05:56,05:56,4,100,4,maintenance,yellow,storm,0.79,none
12079,Gatimaan Express,Passenger,normal,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,05:57,05:57,07:52,07:52,4,115,2,maintenance,red,fog,0.55,none
12032,Bhopal Shatabdi Express,Superfast,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:06,05:06,06:47,06:47,2,101,3,maintenance,green,fog,0.65,none
12312,Taj Express,Passenger,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,05:44,05:44,08:06,08:06,10,142,3,occupied,green,fog,0.66,none
12658,Kerala Express,Goods,super high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,05:47,05:47,07:57,07:57,4,130,3,free,yellow,rain,0.91,none
12858,Chhattisgarh Sampark Kranti,Superfast,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:03,04:03,05:54,05:54,10,111,1,free,green,storm,0.76,none
12225,Mahakoshal Express,Passenger,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:25,04:35,06:58,07:08,2,153,2,maintenance,green,fog,0.85,none
14248,NDLS-AGC Intercity,Goods,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:22,05:22,08:18,08:18,7,176,4,free,green,fog,0.89,breakdown
12097,Kota Janshatabdi,Goods,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:05,05:10,07:04,07:09,4,119,3,free,green,fog,0.87,none
12957,Malwa Express,Goods,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:36,05:36,07:37,07:37,6,121,3,maintenance,yellow,clear,0.62,none
12219,Gwalior Intercity,Goods,normal,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:31,05:34,07:24,07:27,3,113,4,occupied,green,storm,0.67,none
12089,Gatimaan Express,Superfast,normal,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:09,04:12,07:08,07:11,9,179,4,maintenance,red,fog,0.98,track_blockage
12042,Bhopal Shatabdi Express,Goods,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:50,05:50,07:51,07:51,7,121,1,occupied,green,rain,0.73,signal_failure
12322,Taj Express,Passenger,goods-only,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,05:17,05:20,07:36,07:39,9,139,4,occupied,yellow,rain,0.54,breakdown
12668,Kerala Express,Express,high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:55,06:00,08:44,08:49,4,169,4,occupied,green,fog,0.64,none
12868,Chhattisgarh Sampark Kranti,Superfast,normal,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:09,04:09,06:37,06:37,10,148,2,free,green,clear,0.82,none
12235,Mahakoshal Express,Superfast,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:37,04:37,06:42,06:42,8,125,3,maintenance,green,storm,0.73,signal_failure
14258,NDLS-AGC Intercity,Express,normal,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:38,05:38,08:13,08:13,9,155,4,occupied,red,rain,0.81,none
12107,Kota Janshatabdi,Superfast,high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:37,04:37,07:35,07:35,3,178,4,free,yellow,storm,0.53,weather_delay
12967,Malwa Express,Passenger,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:39,04:39,07:00,07:00,7,141,2,occupied,green,rain,0.75,none
12229,Gwalior Intercity,Goods,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:53,05:53,07:34,07:34,10,101,4,maintenance,green,storm,0.6,weather_delay
12099,Gatimaan Express,Goods,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:26,05:26,07:12,07:12,3,106,3,occupied,red,clear,0.95,none
12052,Bhopal Shatabdi Express,Goods,goods-only,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,05:55,06:00,08:21,08:26,3,146,4,free,green,storm,0.63,none
12332,Taj Express,Goods,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:22,04:22,06:35,06:35,9,133,1,maintenance,yellow,rain,0.86,none
12678,Kerala Express,Express,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:05,05:05,07:00,07:00,8,115,2,free,red,rain,0.75,weather_delay
12878,Chhattisgarh Sampark Kranti,Passenger,high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:25,04:28,07:19,07:22,7,174,3,occupied,yellow,rain,0.88,weather_delay
12245,Mahakoshal Express,Goods,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:23,05:33,08:09,08:19,10,166,4,maintenance,yellow,clear,0.64,none
14268,NDLS-AGC Intercity,Superfast,normal,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:43,04:43,07:41,07:41,6,178,3,maintenance,green,storm,0.71,none
12117,Kota Janshatabdi,Goods,normal,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:28,04:28,07:02,07:02,5,154,2,free,green,rain,0.65,none
12977,Malwa Express,Passenger,goods-only,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:57,04:57,06:54,06:54,8,117,4,free,green,storm,0.58,signal_failure
12239,Gwalior Intercity,Superfast,high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:16,05:16,07:08,07:08,9,112,3,occupied,green,clear,0.97,none
12109,Gatimaan Express,Superfast,super high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:55,05:05,07:06,07:16,9,131,4,maintenance,red,fog,0.98,none
12062,Bhopal Shatabdi Express,Superfast,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:58,06:08,07:58,08:08,3,120,4,occupied,red,rain,0.66,none
12342,Taj Express,Goods,super high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:30,04:35,07:05,07:10,4,155,3,free,yellow,rain,0.54,weather_delay
12688,Kerala Express,Goods,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:35,05:35,07:55,07:55,9,140,3,free,green,rain,0.67,none
12888,Chhattisgarh Sampark Kranti,Superfast,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:58,06:01,08:45,08:48,4,167,3,free,yellow,clear,0.78,none
12255,Mahakoshal Express,Passenger,high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,05:54,05:54,07:55,07:55,8,121,3,occupied,yellow,storm,0.65,none
14278,NDLS-AGC Intercity,Goods,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:48,04:53,07:30,07:35,10,162,4,maintenance,yellow,rain,0.7,weather_delay
12127,Kota Janshatabdi,Passenger,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:14,05:14,07:10,07:10,2,116,4,free,green,rain,0.81,track_blockage
12987,Malwa Express,Superfast,high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:06,05:09,07:11,07:14,3,125,1,free,red,fog,0.9,none
12249,Gwalior Intercity,Passenger,super high,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:17,04:17,06:56,06:56,10,159,3,maintenance,yellow,fog,0.91,weather_delay
12119,Gatimaan Express,Superfast,super high,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:09,04:09,06:17,06:17,2,128,2,occupied,red,fog,0.94,none
12072,Bhopal Shatabdi Express,Goods,normal,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:24,05:24,07:20,07:20,3,116,1,maintenance,yellow,rain,1.0,track_blockage
12352,Taj Express,Goods,high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:12,04:17,06:03,06:08,5,111,2,maintenance,red,rain,0.71,none
12698,Kerala Express,Passenger,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:06,04:06,06:21,06:21,5,135,1,maintenance,red,storm,0.51,breakdown
12898,Chhattisgarh Sampark Kranti,Goods,super high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:41,05:56,08:06,08:21,8,145,2,free,green,rain,0.6,none
12265,Mahakoshal Express,Passenger,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:42,05:57,08:21,08:36,10,159,4,free,red,clear,0.97,none
14288,NDLS-AGC Intercity,Goods,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:57,05:57,08:19,08:19,3,142,2,maintenance,green,clear,0.63,none
12137,Kota Janshatabdi,Goods,high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:06,04:16,06:56,07:06,2,170,4,free,yellow,rain,0.97,none
12997,Malwa Express,Passenger,high,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:10,04:13,06:46,06:49,8,156,2,free,green,storm,0.89,track_blockage
12259,Gwalior Intercity,Passenger,goods-only,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:05,04:10,05:50,05:55,7,105,1,free,green,clear,0.67,none
12129,Gatimaan Express,Passenger,goods-only,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:18,05:18,08:05,08:05,10,167,2,maintenance,red,storm,0.86,weather_delay
12082,Bhopal Shatabdi Express,Goods,super high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:34,04:34,07:24,07:24,2,170,1,occupied,red,storm,0.65,none
12362,Taj Express,Express,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:27,04:27,06:38,06:38,8,131,4,occupied,green,rain,0.88,none
12708,Kerala Express,Passenger,high,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,05:46,05:46,08:39,08:39,7,173,2,maintenance,red,storm,0.65,none
12908,Chhattisgarh Sampark Kranti,Superfast,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,05:20,05:25,07:06,07:11,6,106,4,free,yellow,fog,0.95,none
12275,Mahakoshal Express,Passenger,goods-only,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:20,04:20,06:57,06:57,10,157,3,free,red,clear,0.95,breakdown
14298,NDLS-AGC Intercity,Express,goods-only,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:58,05:03,07:46,07:51,2,168,3,occupied,green,clear,0.68,track_blockage
12147,Kota Janshatabdi,Express,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:18,04:18,06:40,06:40,7,142,2,occupied,green,fog,0.57,none
13007,Malwa Express,Express,normal,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:37,04:42,07:14,07:19,4,157,1,occupied,yellow,storm,0.77,none
12269,Gwalior Intercity,Superfast,super high,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:00,04:10,05:54,06:04,7,114,3,maintenance,red,rain,0.71,none
12139,Gatimaan Express,Goods,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:48,05:48,07:52,07:52,5,124,4,maintenance,green,clear,0.53,none
12092,Bhopal Shatabdi Express,Passenger,normal,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:55,05:05,07:17,07:27,2,142,2,occupied,green,storm,0.84,none
12372,Taj Express,Superfast,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:56,04:56,07:22,07:22,7,146,1,free,green,clear,0.62,none
12718,Kerala Express,Express,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,05:34,05:34,07:35,07:35,3,121,4,free,yellow,fog,0.67,none
12918,Chhattisgarh Sampark Kranti,Passenger,high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:12,05:12,07:14,07:14,6,122,1,free,yellow,rain,0.86,none
12285,Mahakoshal Express,Superfast,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:01,04:11,06:59,07:09,10,178,3,maintenance,red,storm,0.55,none
14308,NDLS-AGC Intercity,Superfast,super high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:51,04:51,06:40,06:40,10,109,1,occupied,red,fog,0.56,breakdown
12157,Kota Janshatabdi,Superfast,goods-only,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,05:40,05:55,08:40,08:55,7,180,2,free,yellow,rain,0.82,breakdown
13017,Malwa Express,Superfast,goods-only,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:51,04:51,07:21,07:21,4,150,3,maintenance,yellow,storm,0.59,breakdown
12279,Gwalior Intercity,Passenger,goods-only,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:11,05:11,07:31,07:31,8,140,2,free,red,clear,0.69,none
12149,Gatimaan Express,Passenger,normal,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:39,04:49,06:21,06:31,10,102,1,maintenance,yellow,fog,0.53,none
12102,Bhopal Shatabdi Express,Goods,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:23,04:26,06:42,06:45,4,139,2,occupied,red,rain,0.99,track_blockage
12382,Taj Express,Express,normal,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:54,05:54,08:45,08:45,8,171,1,maintenance,green,rain,0.79,none
12728,Kerala Express,Express,high,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,05:17,05:17,07:31,07:31,7,134,1,occupied,yellow,storm,0.72,signal_failure
12928,Chhattisgarh Sampark Kranti,Express,goods-only,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:42,04:52,06:33,06:43,5,111,4,maintenance,green,clear,0.9,signal_failure
12295,Mahakoshal Express,Express,normal,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:51,05:06,07:51,08:06,10,180,1,maintenance,red,fog,0.66,none
14318,NDLS-AGC Intercity,Goods,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:08,05:08,07:46,07:46,10,158,2,maintenance,green,storm,0.54,none
12167,Kota Janshatabdi,Goods,super high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:00,05:00,07:53,07:53,7,173,1,free,red,clear,0.93,none
13027,Malwa Express,Goods,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:50,05:00,07:22,07:32,7,152,3,maintenance,yellow,rain,1.0,none
12289,Gwalior Intercity,Express,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:20,05:20,07:02,07:02,2,102,3,maintenance,yellow,clear,0.75,none
12159,Gatimaan Express,Passenger,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,05:54,05:54,08:31,08:31,6,157,3,maintenance,green,fog,0.95,none
12112,Bhopal Shatabdi Express,Passenger,goods-only,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:15,04:18,06:09,06:12,10,114,4,free,green,fog,0.79,none
12392,Taj Express,Express,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:33,04:33,07:12,07:12,3,159,1,occupied,yellow,rain,0.52,none
12738,Kerala Express,Express,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:06,05:06,08:01,08:01,7,175,1,occupied,red,storm,0.68,none
12938,Chhattisgarh Sampark Kranti,Passenger,goods-only,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,05:12,05:12,07:09,07:09,5,117,2,free,yellow,clear,0.77,none
12305,Mahakoshal Express,Passenger,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:18,05:18,08:02,08:02,5,164,3,free,yellow,clear,0.55,none
14328,NDLS-AGC Intercity,Express,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:26,04:29,06:06,06:09,9,100,3,free,green,rain,0.96,none
12177,Kota Janshatabdi,Goods,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:04,05:04,07:37,07:37,8,153,1,occupied,yellow,clear,0.86,none
13037,Malwa Express,Goods,super high,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,05:05,05:08,08:04,08:07,4,179,4,free,red,fog,0.56,none
12299,Gwalior Intercity,Superfast,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:22,05:27,07:05,07:10,6,103,2,occupied,green,clear,0.94,none
12169,Gatimaan Express,Goods,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:54,05:57,08:54,08:57,7,180,4,maintenance,yellow,rain,0.9,none
12122,Bhopal Shatabdi Express,Express,normal,New Delhi,NDLS,Tundla Junction,TDL,NDLS->TDL,04:34,04:34,06:32,06:32,9,118,2,occupied,yellow,rain,0.83,none
12402,Taj Express,Passenger,normal,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:19,04:24,06:01,06:06,10,102,4,free,red,clear,0.91,none
12748,Kerala Express,Superfast,high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:21,05:21,08:13,08:13,10,172,3,free,yellow,storm,0.89,none
12948,Chhattisgarh Sampark Kranti,Express,normal,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:37,04:37,06:38,06:38,5,121,2,occupied,yellow,rain,0.78,signal_failure
12315,Mahakoshal Express,Express,super high,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:31,04:31,06:25,06:25,3,114,4,free,green,storm,0.52,none
14338,NDLS-AGC Intercity,Superfast,goods-only,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:14,04:14,06:41,06:41,2,147,3,free,yellow,clear,0.57,breakdown
12187,Kota Janshatabdi,Passenger,high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:16,05:31,07:38,07:53,10,142,3,free,yellow,fog,0.78,none
13047,Malwa Express,Goods,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:43,04:43,07:35,07:35,6,172,1,free,red,rain,1.0,none
12309,Gwalior Intercity,Goods,super high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:20,05:20,08:03,08:03,7,163,3,maintenance,yellow,rain,0.96,none
12179,Gatimaan Express,Passenger,goods-only,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:35,05:35,08:21,08:21,2,166,1,free,yellow,storm,0.82,none
12132,Bhopal Shatabdi Express,Goods,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:05,04:15,07:04,07:14,3,179,1,maintenance,green,fog,0.88,weather_delay
12412,Taj Express,Superfast,goods-only,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:31,05:41,07:18,07:28,3,107,2,free,red,storm,0.84,none
12758,Kerala Express,Goods,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:05,05:05,07:19,07:19,5,134,4,occupied,yellow,clear,0.82,none
12958,Chhattisgarh Sampark Kranti,Passenger,high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:45,04:45,07:18,07:18,7,153,2,free,green,rain,0.8,breakdown
12325,Mahakoshal Express,Express,high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:45,04:45,07:25,07:25,4,160,1,free,yellow,storm,0.53,none
14348,NDLS-AGC Intercity,Passenger,high,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,04:30,04:30,07:20,07:20,5,170,3,occupied,yellow,rain,1.0,signal_failure
12197,Kota Janshatabdi,Goods,high,Mathura Junction,MKR,Agra Cantt,AGC,MKR->AGC,05:49,05:49,08:14,08:14,4,145,3,free,yellow,fog,0.52,breakdown
13057,Malwa Express,Superfast,super high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:24,05:34,08:24,08:34,2,180,3,maintenance,red,rain,0.53,track_blockage
12319,Gwalior Intercity,Goods,high,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,04:47,04:47,07:03,07:03,9,136,1,occupied,green,rain,0.81,breakdown
12189,Gatimaan Express,Superfast,normal,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,05:04,05:07,07:21,07:24,6,137,3,maintenance,green,fog,0.66,breakdown
12142,Bhopal Shatabdi Express,Express,super high,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:30,05:40,07:59,08:09,7,149,1,free,yellow,storm,0.69,signal_failure
12422,Taj Express,Superfast,normal,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,05:59,06:04,07:45,07:50,2,106,1,free,green,rain,0.59,none
12768,Kerala Express,Passenger,goods-only,New Delhi,NDLS,Mathura Junction,MKR,NDLS->MKR,04:30,04:40,07:15,07:25,6,165,4,free,yellow,fog,0.74,weather_delay
12968,Chhattisgarh Sampark Kranti,Superfast,super high,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:29,04:29,06:16,06:16,7,107,1,maintenance,green,fog,0.52,none
12335,Mahakoshal Express,Superfast,normal,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:07,04:07,06:33,06:33,9,146,4,maintenance,red,storm,0.87,none
14358,NDLS-AGC Intercity,Express,super high,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:35,04:40,07:02,07:07,4,147,3,free,green,clear,0.59,none
12207,Kota Janshatabdi,Goods,normal,Mathura Junction,MKR,Tundla Junction,TDL,MKR->TDL,04:21,04:36,07:21,07:36,4,180,4,free,red,storm,0.76,none
13067,Malwa Express,Superfast,goods-only,Agra Cantt,AGC,Tundla Junction,TDL,AGC->TDL,05:30,05:30,07:41,07:41,9,131,4,occupied,yellow,fog,0.54,signal_failure
12329,Gwalior Intercity,Express,super high,New Delhi,NDLS,Agra Cantt,AGC,NDLS->AGC,04:28,04:28,06:45,06:45,9,137,1,free,yellow,storm,0.85,none
